,query_title,filter,top_hit_id,top_hit_score,top_hit_name
28,CL62Contig71,,gi|312032588|gb|AC243156.1|,111,"Gossypium hirsutum clone MX119B12-jot, complete sequence"
29,CL62Contig88,,gi|937937345|dbj|AP014967.1|,32,"Oryza sativa Japonica Group DNA, chromosome 11, cultivar: Nipponbare, complete sequence"
30,CL62Contig108,,gi|769809124|ref|XM_011625997.1|,1143,"PREDICTED: Amborella trichopoda retrovirus-related Pol polyprotein from transposon TNT 1-94 (LOC105420836), partial mRNA"
31,CL63Contig92,,gi|1126731993|emb|LT669795.1|,111,"Arabis alpina genome assembly, chromosome: chr8"
32,CL65Contig121,,gi|1130630478|ref|XM_019847869.1|,54,"PREDICTED: Elaeis guineensis uncharacterized LOC109505386 (LOC109505386), mRNA"
33,CL65Contig142,,gi|663681403|emb|HG975522.1|,34,"Solanum lycopersicum chromosome ch10, complete genome"
34,CL67Contig43,,gi|769817038|ref|XM_011623508.1|,889,"PREDICTED: Amborella trichopoda uncharacterized LOC105420314 (LOC105420314), partial mRNA"
35,CL67Contig46,,gi|965664935|dbj|AP015036.1|,2125,"Vigna angularis var. angularis DNA, chromosome 3, almost complete sequence, cultivar: Shumari"
36,CL67Contig51,,gi|663673445|emb|HG975446.1|,1152,"Solanum pennellii chromosome ch07, complete genome"
37,CL67Contig63,,gi|1079220684|ref|XM_018648251.1|,68,"PREDICTED: Pyrus x bretschneideri uncharacterized LOC103950527 (LOC103950527), mRNA"
38,CL67Contig72,,gi|170763721|gb|AC123573.54|,117,"Medicago truncatula clone mth2-5n3, complete sequence"
39,CL67Contig85,,gi|669026884|emb|HG670306.1|,47,"Triticum aestivum chromosome 3B, genomic scaffold, cultivar Chinese Spring"
40,CL67Contig102,,gi|1021526319|ref|XM_016351140.1|,138,"PREDICTED: Arachis ipaensis uncharacterized LOC107647002 (LOC107647002), mRNA"
41,CL67Contig115,,gi|1044556463|ref|XM_017558889.1|,69,"PREDICTED: Vigna angularis uncharacterized LOC108325810 (LOC108325810), mRNA"
42,CL77Contig20,,gi|189162568|dbj|AP009791.1|,39,"Lotus japonicus genomic DNA, clone: LjT37I20, TM2097, complete sequence"
43,CL78Contig37,,gi|687022015|emb|LM523163.1|,28,"Parastrongyloides trichosuri genome assembly P_trichosuri_KNP ,scaffold PTRK_scaffold0000006"
44,CL83Contig73,,gi|570309396|gb|KC622807.1|,28,"Drosophila madeirensis strain madRF01 occludin related Y protein (ory) gene, partial cds"
45,CL84Contig102,,gi|685844880|ref|NG_034260.1|,29,"Homo sapiens collagen type XXVII alpha 1 chain (COL27A1), RefSeqGene on chromosome 9"
46,CL89Contig8,,gi|1028977634|ref|XM_016876753.1|,32,"PREDICTED: Gossypium hirsutum QWRF motif-containing protein 2-like (LOC107943025), mRNA"
47,CL89Contig9,,gi|47776105|emb|BX664607.21|,28,"Zebrafish DNA sequence from clone CH211-132B12 in linkage group 18, complete sequence"
48,CL90Contig18,,gi|410175970|gb|AC253855.1|,87,"Aquilegia coerulea clone COL02-M18, complete sequence"
49,CL92Contig1,1,gi|915477544|gb|KR779995.1|,14365,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
50,CL93Contig3,,gi|769826692|ref|XM_006826094.2|,1349,"PREDICTED: Amborella trichopoda uncharacterized LOC18421272 (LOC18421272), partial mRNA"
51,CL93Contig6,,gi|1095452298|gb|CP017818.1|,30,"Sclerotinia sclerotiorum chromosome 5, complete sequence"
52,CL95Contig1,1,gi|915477544|gb|KR779995.1|,621,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
53,CL95Contig2,1,gi|915477544|gb|KR779995.1|,13536,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
54,CL102Contig16,,gi|769821353|ref|XM_006832952.2|,663,"PREDICTED: Amborella trichopoda uncharacterized LOC18426298 (LOC18426298), partial mRNA"
55,CL102Contig20,,gi|850485237|gb|CP011893.1|,30,Ovis canadensis canadensis isolate 43U chromosome 8 sequence
56,CL104Contig2,,gi|769826686|ref|XM_006826130.2|,272,"PREDICTED: Amborella trichopoda uncharacterized LOC18421312 (LOC18421312), partial mRNA"
57,CL104Contig16,,gi|769826686|ref|XM_006826130.2|,552,"PREDICTED: Amborella trichopoda uncharacterized LOC18421312 (LOC18421312), partial mRNA"
58,CL104Contig19,,gi|769826686|ref|XM_006826130.2|,1024,"PREDICTED: Amborella trichopoda uncharacterized LOC18421312 (LOC18421312), partial mRNA"
59,CL104Contig28,,gi|123636170|emb|AM424197.1|,34,"Vitis vinifera contig VV78X078752.34, whole genome shotgun sequence"
60,CL105Contig1,,gi|769809124|ref|XM_011625997.1|,487,"PREDICTED: Amborella trichopoda retrovirus-related Pol polyprotein from transposon TNT 1-94 (LOC105420836), partial mRNA"
61,CL105Contig5,,gi|312032557|gb|AC243124.1|,763,"Gossypium raimondii clone GR__Ba0150L14-hof, complete sequence"
62,CL105Contig6,,gi|769809124|ref|XM_011625997.1|,545,"PREDICTED: Amborella trichopoda retrovirus-related Pol polyprotein from transposon TNT 1-94 (LOC105420836), partial mRNA"
63,CL118Contig1,,gi|297815455|ref|XM_002875565.1|,49,"Arabidopsis lyrata subsp. lyrata hypothetical protein, mRNA"
64,CL121Contig5,,gi|397001682|gb|JX027061.1|,516,"Citrullus lanatus BAC clone 51-H15, complete sequence"
65,CL121Contig6,,gi|733566264|emb|LN682425.1|,167,"Cucumis melo genomic scaffold, unanchored_scaffold00568"
66,CL121Contig8,,gi|663673440|emb|HG975441.1|,82,"Solanum pennellii chromosome ch02, complete genome"
67,CL124Contig2,,gi|1042907538|emb|LT594789.1|,34,"Theobroma cacao genome assembly, chromosome: II"
68,CL127Contig1,1,gi|915477544|gb|KR779995.1|,2578,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
69,CL127Contig4,1,gi|915477544|gb|KR779995.1|,3488,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
70,CL130Contig7,,gi|938475369|gb|CP012937.1|,30,"Bacteroides thetaiotaomicron strain 7330, complete genome"
71,CL134Contig1,,gi|1039893678|ref|XM_017334381.1|,174,"PREDICTED: Malus x domestica uncharacterized LOC108174070 (LOC108174070), mRNA"
72,CL134Contig5,,gi|985457967|ref|XM_015532236.1|,70,"PREDICTED: Citrus sinensis RNA-directed DNA polymerase homolog (LOC107177799), partial mRNA"
73,CL136Contig2,,gi|1042907538|emb|LT594789.1|,757,"Theobroma cacao genome assembly, chromosome: II"
74,CL141Contig7,,gi|663681406|emb|HG975523.1|,29,"Solanum lycopersicum chromosome ch11, complete genome"
75,CL159Contig5,,gi|166197738|gb|AC217032.1|,36,"Populus trichocarpa clone POP013-C12, complete sequence"
76,CL167Contig1,1,gi|915477544|gb|KR779995.1|,1142,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
77,CL167Contig3,1,gi|915477544|gb|KR779995.1|,1597,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
78,CL169Contig4,,gi|1102764218|ref|XM_010259153.2|,50,"PREDICTED: Nelumbo nucifera protein EMSY-LIKE 3 (LOC104597548), mRNA"
79,CL176Contig1,,gi|965610582|dbj|AP015042.1|,1826,"Vigna angularis var. angularis DNA, chromosome 9, almost complete sequence, cultivar: Shumari"
80,CL180Contig11,,gi|687894995|emb|LK964424.1|,29,"Brugia pahangi genome assembly B_pahangi_Glasgow ,scaffold BPAG_scaffold0000209"
81,CL185Contig9,,gi|147795454|emb|AM453885.2|,113,"Vitis vinifera contig VV78X114881.13, whole genome shotgun sequence"
82,CL190Contig1,1,gi|915477544|gb|KR779995.1|,1975,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
83,CL200Contig4,,gi|663673440|emb|HG975441.1|,111,"Solanum pennellii chromosome ch02, complete genome"
84,CL202Contig1,,gi|1043336564|gb|KU884741.1|,44,Zanthoxylum schinifolium microsatellite Zs2062 sequence
85,CL214Contig1,1,gi|915477544|gb|KR779995.1|,980,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
86,CL214Contig2,1,gi|915477544|gb|KR779995.1|,780,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
87,CL220Contig1,1,gi|814071848|ref|NC_026562.1|,1416,"Cannabis sativa cultivar Carmagnola chloroplast, complete genome"
88,CL228Contig1,1,gi|915477544|gb|KR779995.1|,1243,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
89,CL232Contig2,,gi|1021512413|ref|XM_016344079.1|,34,"PREDICTED: Arachis ipaensis uncharacterized LOC107640565 (LOC107640565), mRNA"
90,CL238Contig2,,gi|769799309|ref|XM_006854823.2|,580,"PREDICTED: Amborella trichopoda uncharacterized LOC18444659 (LOC18444659), partial mRNA"
91,CL241Contig1,,gi|690065237|emb|LM583215.1|,29,"Haemonchus placei genome assembly H_placei_MHpl1 ,scaffold HPLM_scaffold0000160"
92,CL260Contig1,,gi|686699793|ref|XM_009237112.1|,28,"PREDICTED: Pongo abelii CDC42 binding protein kinase alpha (DMPK-like) (CDC42BPA), mRNA"
93,CL264Contig1,,gi|1042907539|emb|LT594790.1|,101,"Theobroma cacao genome assembly, chromosome: III"
94,CL268Contig1,1,gi|984913778|gb|KT458364.1|,1023,"Cannabis sativa voucher Ahrendsen_22 RNA polymerase beta' subunit gene, complete cds; chloroplast"
95,CL271Contig1,1,gi|915477544|gb|KR779995.1|,983,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
96,CL299Contig1,1,gi|873820236|gb|KR184827.1|,1212,"Cannabis sativa subsp. sativa cultivar Cheungsam chloroplast, complete genome"
97,CL304Contig1,,gi|687909346|emb|LK978277.1|,28,"Dracunculus medinensis genome assembly D_medinensis_Ghana ,scaffold DME_contig0000037"
98,CL313Contig1,1,gi|915477544|gb|KR779995.1|,742,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
99,CL326Contig1,1,gi|915477544|gb|KR779995.1|,991,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
100,CL337Contig1,1,gi|927682664|gb|KT266264.1|,1060,"Humulus lupulus chloroplast, complete genome"
101,CL351Contig1,1,gi|915477544|gb|KR779995.1|,948,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
102,CL355Contig1,1,gi|915477544|gb|KR779995.1|,882,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
103,CL362Contig1,1,gi|915477544|gb|KR779995.1|,781,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
104,CL431Contig1,1,gi|915477544|gb|KR779995.1|,523,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
105,CL438Contig1,1,gi|915477544|gb|KR779995.1|,507,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
106,CL483Contig1,,gi|1042907542|emb|LT594793.1|,138,"Theobroma cacao genome assembly, chromosome: VI"
107,CL553Contig1,1,gi|915477544|gb|KR779995.1|,538,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
108,CL589Contig1,,gi|1042907539|emb|LT594790.1|,94,"Theobroma cacao genome assembly, chromosome: III"
109,CL608Contig1,1,gi|915477544|gb|KR779995.1|,532,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
110,CL636Contig2,,gi|147833524|emb|AM471197.2|,141,"Vitis vinifera contig VV78X125097.3, whole genome shotgun sequence"
111,CL657Contig1,,gi|1021574395|ref|XM_016322875.1|,38,"PREDICTED: Arachis ipaensis uncharacterized LOC107620749 (LOC107620749), mRNA"
112,CL38Contig94,,gi|1102781120|ref|XM_019199794.1|,66,"PREDICTED: Nelumbo nucifera uncharacterized LOC109115569 (LOC109115569), mRNA"
113,CL38Contig233,,gi|720080699|ref|XM_010243750.1|,81,"PREDICTED: Nelumbo nucifera uncharacterized LOC104586489 (LOC104586489), mRNA"
114,CL38Contig239,,gi|971549229|ref|XM_015308394.1|,43,"PREDICTED: Solanum tuberosum uncharacterized LOC107060429 (LOC107060429), mRNA"
115,CL39Contig4,,gi|685042687|emb|LN591212.1|,32,"Cyprinus carpio genome assembly common carp genome ,scaffold 000028978"
116,CL39Contig24,,gi|663681072|emb|HG975518.1|,1685,"Solanum lycopersicum chromosome ch06, complete genome"
117,CL39Contig30,,gi|1042907684|emb|LT594796.1|,1445,"Theobroma cacao genome assembly, chromosome: IX"
118,CL39Contig55,,gi|12227265|emb|AJ292269.1|,167,Nicotiana sylvestris DNA flanking T-DNA insert line S18K2L
119,CL42Contig3,,gi|563477322|gb|KC539550.1|,92,"Chaetachme aristata voucher MO:J. R. Abbott 25980 18S ribosomal RNA gene, partial sequence"
120,CL42Contig4,,gi|7960173|gb|AF223066.1|AF223066,3749,"Humulus lupulus 26S ribosomal RNA gene, partial sequence; 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2 and 26S ribosomal RNA gene, complete sequence; and 18S ribosomal RNA gene, partial sequence"
121,CL45Contig31,,gi|523711443|gb|KF191946.1|,38,Frangula alnus subsp. alnus clone Contig11349 polymorphic genomic sequence
122,CL45Contig70,,gi|1042907540|emb|LT594791.1|,41,"Theobroma cacao genome assembly, chromosome: IV"
123,CL45Contig82,,gi|523711443|gb|KF191946.1|,40,Frangula alnus subsp. alnus clone Contig11349 polymorphic genomic sequence
124,CL45Contig121,,gi|21844702|gb|AC115355.3|,28,"Mus musculus BAC clone RP23-14J16 from 9, complete sequence"
125,CL49Contig1,1,gi|764044028|gb|CP004084.1|,1857,"Enterobacteria phage phiX174, complete genome"
126,CL51Contig79,,gi|1070253971|emb|LT594632.1|,32,"Plasmodium malariae genome assembly, chromosome: 11"
127,CL51Contig92,,gi|1126731799|emb|LT669793.1|,28,"Arabis alpina genome assembly, chromosome: chr6"
128,CL51Contig132,,gi|1126731799|emb|LT669793.1|,28,"Arabis alpina genome assembly, chromosome: chr6"
129,CL54Contig34,,gi|164498911|gb|AC216422.1|,1585,"Populus trichocarpa clone POP107-N01, complete sequence"
130,CL54Contig67,,gi|102139931|gb|AC186753.1|,41,"Musa acuminata clone MA4_54B05, complete sequence"
131,CL61Contig1,,gi|1124775477|emb|LK995457.1|,1319,"Desulfitobacterium hafniense genome assembly, scaffold: scaffold2"
132,CL69Contig22,,gi|586720597|ref|XM_006848681.1|,1761,"PREDICTED: Amborella trichopoda uncharacterized LOC18438498 (LOC18438498), mRNA"
133,CL69Contig49,,gi|675817419|emb|LM997310.1|,45,"Escherichia coli genome assembly FHI90, scaffold scaffold-21_contig-10.0_1_183019_[organism:Escherichia"
134,CL70Contig1,,gi|769821353|ref|XM_006832952.2|,405,"PREDICTED: Amborella trichopoda uncharacterized LOC18426298 (LOC18426298), partial mRNA"
135,CL70Contig13,,gi|1052206272|ref|XM_008782004.2|,40,"PREDICTED: Phoenix dactylifera uncharacterized LOC103700023 (LOC103700023), mRNA"
136,CL70Contig23,,gi|63020532|gb|DQ009671.1|,39,Medicago truncatula chromosome 2 genotype A17 telomere and telomere proximal genomic sequence
137,CL70Contig33,,gi|147819762|emb|AM440267.2|,34,"Vitis vinifera contig VV78X016490.6, whole genome shotgun sequence"
138,CL70Contig59,,gi|1052206272|ref|XM_008782004.2|,41,"PREDICTED: Phoenix dactylifera uncharacterized LOC103700023 (LOC103700023), mRNA"
139,CL72Contig21,,gi|586713560|ref|XM_006847179.1|,1585,"PREDICTED: Amborella trichopoda protein FAR1-RELATED SEQUENCE 4 (LOC18436961), partial mRNA"
140,CL72Contig41,,gi|586713560|ref|XM_006847179.1|,216,"PREDICTED: Amborella trichopoda protein FAR1-RELATED SEQUENCE 4 (LOC18436961), partial mRNA"
141,CL75Contig19,,gi|1042907540|emb|LT594791.1|,3041,"Theobroma cacao genome assembly, chromosome: IV"
142,CL80Contig16,,gi|1042907542|emb|LT594793.1|,68,"Theobroma cacao genome assembly, chromosome: VI"
143,CL80Contig43,,gi|850496270|gb|CP011912.1|,24,Ovis canadensis canadensis isolate 43U chromosome X sequence
144,CL81Contig11,,gi|147860072|emb|AM455692.2|,34,"Vitis vinifera contig VV78X115937.9, whole genome shotgun sequence"
145,CL87Contig46,,gi|302583371|gb|GU252996.1|,30,Cercis canadensis clone 383 microsatellite sequence
146,CL88Contig1,,gi|984915421|gb|KT459222.1|,914,"Cannabis sativa voucher Ahrendsen_22 26S ribosomal RNA gene, partial sequence"
147,CL97Contig2,,gi|586729324|ref|XM_006849752.1|,1137,"PREDICTED: Amborella trichopoda uncharacterized LOC18439590 (LOC18439590), mRNA"
148,CL100Contig16,,gi|762036447|gb|CP010373.2|,533,"Escherichia coli strain 6409 plasmid p6409-202.186kb, complete sequence"
149,CL100Contig25,,gi|817548398|gb|KR069097.1|,955,"Expression vector pET28_nusA_tjp1aN, complete sequence"
150,CL113Contig20,,gi|769796917|ref|XM_011629689.1|,546,"PREDICTED: Amborella trichopoda protein FAR1-RELATED SEQUENCE 4 (LOC18446801), partial mRNA"
151,CL113Contig21,,gi|769796917|ref|XM_011629689.1|,643,"PREDICTED: Amborella trichopoda protein FAR1-RELATED SEQUENCE 4 (LOC18446801), partial mRNA"
152,CL119Contig30,,gi|332002898|gb|CP002688.1|,39,Arabidopsis thaliana chromosome 5 sequence
153,CL129Contig32,,gi|224923023|gb|AC235259.1|,272,"Glycine max strain Williams 82 clone GM_WBb0038P01, complete sequence"
154,CL144Contig2,,gi|15022013|gb|AC016566.6|,29,"Homo sapiens chromosome 5 clone CTC-547G6, complete sequence"
155,CL144Contig3,,gi|1102738979|ref|XM_010256593.2|,28,"PREDICTED: Nelumbo nucifera polyol transporter 5-like (LOC104595731), mRNA"
156,CL148Contig6,,gi|769799309|ref|XM_006854823.2|,499,"PREDICTED: Amborella trichopoda uncharacterized LOC18444659 (LOC18444659), partial mRNA"
157,CL148Contig14,,gi|769799309|ref|XM_006854823.2|,784,"PREDICTED: Amborella trichopoda uncharacterized LOC18444659 (LOC18444659), partial mRNA"
158,CL151Contig5,,gi|1126731459|emb|LT669789.1|,340,"Arabis alpina genome assembly, chromosome: chr2"
159,CL151Contig8,,gi|189163345|dbj|AP010579.1|,196,"Lotus japonicus genomic DNA, clone: LjT06N24, TM1887, complete sequence"
160,CL153Contig1,1,gi|828348805|gb|KR363961.1|,3386,"Cannabis sativa cultivar Yoruba Nigeria chloroplast, complete genome"
161,CL156Contig23,,gi|1042907543|emb|LT594794.1|,37,"Theobroma cacao genome assembly, chromosome: VII"
162,CL158Contig14,,gi|71082429|gb|DQ108498.1|,35,Corchorus olitorius SSR marker J-96-M13F genomic sequence
163,CL170Contig2,,gi|147862399|emb|AM484838.2|,81,"Vitis vinifera contig VV78X185590.3, whole genome shotgun sequence"
164,CL183Contig1,1,gi|915477544|gb|KR779995.1|,2168,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
165,CL187Contig1,,gi|268306489|gb|GU084333.1|,28,"Manduca sexta ribosomal protein S15A (rps15a) mRNA, complete cds"
166,CL198Contig1,1,gi|915477544|gb|KR779995.1|,1628,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
167,CL205Contig4,,gi|1042907541|emb|LT594792.1|,68,"Theobroma cacao genome assembly, chromosome: V"
168,CL213Contig1,1,gi|915477544|gb|KR779995.1|,1642,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
169,CL219Contig1,1,gi|915477544|gb|KR779995.1|,1104,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
170,CL222Contig1,1,gi|915477544|gb|KR779995.1|,1292,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
171,CL226Contig2,,gi|147862956|emb|AM451574.2|,39,"Vitis vinifera contig VV78X101249.5, whole genome shotgun sequence"
172,CL231Contig1,1,gi|915477544|gb|KR779995.1|,1338,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
173,CL234Contig4,,gi|571447931|ref|XM_006577552.1|,159,"PREDICTED: Glycine max uncharacterized LOC102665777 (LOC102665777), mRNA"
174,CL240Contig1,1,gi|915477544|gb|KR779995.1|,1324,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
175,CL252Contig2,,gi|1036913944|ref|XM_017239641.1|,28,"PREDICTED: Drosophila bipectinata PDF receptor (LOC108124099), transcript variant X4, mRNA"
176,CL270Contig1,1,gi|915477544|gb|KR779995.1|,989,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
177,CL310Contig1,1,gi|915477544|gb|KR779995.1|,1061,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
178,CL316Contig2,,gi|224923009|gb|AC235245.1|,47,"Glycine max strain Williams 82 clone GM_WBb0033D02, complete sequence"
179,CL342Contig1,,gi|733577844|emb|LN713260.1|,80,"Cucumis melo genomic chromosome, chr_6"
180,CL346Contig2,,gi|733578041|emb|LN713255.1|,169,"Cucumis melo genomic chromosome, chr_1"
181,CL357Contig1,1,gi|915477544|gb|KR779995.1|,832,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
182,CL363Contig1,1,gi|915477544|gb|KR779995.1|,648,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
183,CL368Contig1,1,gi|915477544|gb|KR779995.1|,750,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
184,CL421Contig1,1,gi|915477544|gb|KR779995.1|,647,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
185,CL432Contig1,1,gi|915477544|gb|KR779995.1|,829,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
186,CL441Contig1,1,gi|984913838|gb|KT458394.1|,600,"Cannabis sativa voucher Ahrendsen_22 RNA polymerase beta'' subunit gene, complete cds; chloroplast"
187,CL461Contig1,1,gi|915477544|gb|KR779995.1|,643,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
188,CL515Contig1,1,gi|915477544|gb|KR779995.1|,509,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
189,CL607Contig1,1,gi|915477544|gb|KR779995.1|,528,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
190,CL8Contig389,,gi|1056737626|tpe|HF933212.1|,29,"TPA_asm: Oryzias latipes strain Hd-rR, complete genome assembly, chromosome 6"
191,CL9Contig130,,gi|850494956|gb|CP011910.1|,27,Ovis canadensis canadensis isolate 43U chromosome 25 sequence
192,CL9Contig280,,gi|850494956|gb|CP011910.1|,28,Ovis canadensis canadensis isolate 43U chromosome 25 sequence
193,CL16Contig133,,gi|937931852|dbj|AP014965.1|,99,"Oryza sativa Japonica Group DNA, chromosome 9, cultivar: Nipponbare, complete sequence"
194,CL16Contig167,,gi|85813754|emb|AM183164.1|,55,Citrus sinensis gypsy-like retrotransposon GySi9 partial pol gene for polyprotein
195,CL18Contig90,,gi|12862474|dbj|AB021659.1|,173,"Cannabis sativa DNA, male-specific RAPD marker, clone MADC4"
196,CL18Contig99,,gi|12862474|dbj|AB021659.1|,236,"Cannabis sativa DNA, male-specific RAPD marker, clone MADC4"
197,CL18Contig124,,gi|733581963|emb|LN713261.1|,72,"Cucumis melo genomic chromosome, chr_7"
198,CL18Contig132,,gi|1042907544|emb|LT594795.1|,103,"Theobroma cacao genome assembly, chromosome: VIII"
199,CL22Contig60,,gi|850490465|gb|CP011901.1|,26,Ovis canadensis canadensis isolate 43U chromosome 16 sequence
200,CL66Contig55,,gi|663681259|emb|HG975520.1|,65,"Solanum lycopersicum chromosome ch08, complete genome"
201,CL66Contig57,,gi|663673445|emb|HG975446.1|,35,"Solanum pennellii chromosome ch07, complete genome"
202,CL66Contig115,,gi|663680699|emb|HG975514.1|,238,"Solanum lycopersicum chromosome ch02, complete genome"
203,CL74Contig1,,gi|984915421|gb|KT459222.1|,1627,"Cannabis sativa voucher Ahrendsen_22 26S ribosomal RNA gene, partial sequence"
204,CL85Contig1,,gi|460002025|gb|KC292629.1|,913,"Cannabis sativa subsp. indica voucher 20121121-846 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence"
205,CL99Contig7,,gi|380042379|gb|JN717242.1|,821,"Cannabis sativa acyl-activating enzyme 10 mRNA, complete cds"
206,CL99Contig18,,gi|752295899|gb|KM887143.1|,501,"Cloning vector pEXG2, complete sequence"
207,CL110Contig2,1,gi|915477544|gb|KR779995.1|,8796,"Cannabis sativa cultivar dagestani chloroplast, complete genome"
